"left_edge","right_edge","a","b","right_edge","CDF_left","CDF_right"
0.,0.1,0.004875313042976002,0.,0.1,0.,0.000024376565214880015
0.1,0.2,0.7921301224881752,-0.07872548094451992,0.2,0.000024376565214880015,0.004033780308085516
0.2,0.3,3.813162307485135,-0.6829319179439118,0.3,0.004033780308085516,0.031069646200822698
0.3,0.4,6.769220818185825,-1.569749471154119,0.4,0.031069646200822698,0.11101742772191475
0.4,0.5,7.978760641899173,-2.0535654006394584,0.5,0.11101742772191475,0.26470511654343165
0.5,0.6,6.245475059603467,-1.1869226094916052,0.6,0.26470511654343165,0.4895139838724618
0.6,0.7,-0.503822106282756,2.8626556900401288,0.7,0.4895139838724618,0.7430311159680955
0.7,0.8,-12.347715187923567,11.153380847188696,0.8,0.7430311159680955,0.9322905615926973
0.8,0.9,-12.357186612017363,11.160957986463735,0.9,0.9322905615926973,0.9980254982175951
0.9,1.,-0.3949003564810558,0.3949003564810558,1.,0.9980254982175951,1.0000000000000004
