"left_edge","right_edge","a","b","right_edge","CDF_left","CDF_right"
0.,0.0033333333333333335,1.5058337444412422e-127,0.,0.0033333333333333335,0.,8.36574302467357e-133
0.0033333333333333335,0.006666666666666667,2.105702054681815e-62,-7.0190068489393835e-65,0.006666666666666667,8.36574302467357e-133,1.1698344748232316e-67
0.006666666666666667,0.01,1.0953894674040459e-40,-7.302596449360306e-43,0.01,1.1698344748232316e-67,6.085497041133588e-46
0.01,0.013333333333333334,7.913672134930366e-30,-7.913672134893852e-32,0.013333333333333334,6.085497041133588e-46,4.3964845195883317e-35
0.013333333333333334,0.016666666666666666,2.5956280610812924e-23,-3.4608371509859855e-25,0.016666666666666666,4.3964845195883317e-35,1.4420169084349617e-28
0.016666666666666666,0.02,5.736076069563552e-19,-9.560040261644171e-21,0.02,1.4420169084349617e-28,3.1871415324319775e-24
0.02,0.023333333333333334,7.275161427477788e-16,-1.4548410743078093e-17,0.023333333333333334,3.1871415324319775e-24,4.051317196389483e-21
0.023333333333333334,0.02666666666666667,1.5422820005626556e-13,-3.596231035391826e-15,0.02666666666666667,4.051317196389483e-21,8.689645372457698e-19
0.02666666666666667,0.03,9.87308160478566e-12,-2.6276565516150904e-13,0.03,8.689645372457698e-19,5.744115445086131e-17
0.03,0.03333333333333333,2.720117230667539e-10,-8.126924899020556e-12,0.03333333333333333,5.744115445086131e-17,1.6800400369841423e-15
0.03333333333333333,0.03666666666666667,4.045046732235436e-9,-1.3389475853797662e-10,0.03666666666666667,1.6800400369841423e-15,2.7286297004529738e-14
0.03666666666666667,0.04,3.781090548255259e-8,-1.3719762460496057e-9,0.04,2.7286297004529738e-14,2.854256218320064e-13
0.04,0.043333333333333335,2.471300407645781e-7,-9.744741657330625e-9,0.043333333333333335,2.854256218320064e-13,2.1265702035879937e-12
0.043333333333333335,0.04666666666666667,1.2194736862691316e-6,-5.187963296252794e-8,0.04666666666666667,2.1265702035879937e-12,1.2115513268864641e-11
0.04666666666666667,0.05,4.807801910222556e-6,-2.1933495008035442e-7,0.05,1.2115513268864641e-11,5.558932075909544e-11
0.05,0.05333333333333334,0.000015803753284828755,-7.691325188106644e-7,0.05333333333333334,5.558932075909544e-11,2.1357176822183291e-10
0.05333333333333334,0.056666666666666664,0.00004475026330331812,-2.3129463864634306e-6,0.056666666666666664,2.1357176822183291e-10,7.079654189520464e-10
0.056666666666666664,0.06,0.00011196585529099763,-6.121829932431936e-6,0.06,7.079654189520464e-10,2.07300417298403e-9
0.06,0.06333333333333334,0.00025254101800317757,-0.000014556339695162732,0.06333333333333334,2.07300417298403e-9,5.4630811119836626e-9
0.06333333333333334,0.06666666666666667,0.0005217745082536944,-0.00003160779407769546,0.06666666666666667,5.4630811119836626e-9,1.3154910974632537e-8
0.06666666666666667,0.07,0.001000343219180971,-0.00006351237480618057,0.07,1.3154910974632537e-8,2.930295043414058e-8
0.07,0.07333333333333333,0.0017984869773811417,-0.00011938243788019253,0.07333333333333333,2.930295043414058e-8,6.100004654121645e-8
0.07333333333333333,0.07666666666666666,0.00305862357389639,-0.00021179245495797741,0.07666666666666666,6.100004654121645e-8,1.1968109015538862e-7
0.07666666666666666,0.08,0.004956036203364875,-0.00035726075655056127,0.08,1.1968109015538862e-7,2.2288802142101304e-7
0.08,0.08333333333333333,0.007697531961534985,-0.00057658041720417,0.08333333333333333,2.2288802142101304e-7,3.9639255360274866e-7
0.08333333333333333,0.08666666666666667,0.011518203240571206,-0.0008949696904571884,0.08666666666666667,3.9639255360274866e-7,6.766511702406275e-7
0.08666666666666667,0.09,0.016676600724412727,-0.0013420308057234536,0.09,6.766511702406275e-7,1.1135475866839753e-6
0.09,0.09333333333333334,0.023448734422979834,-0.0019515228385944933,0.09333333333333334,1.1135475866839753e-6,1.7733625317239497e-6
0.09333333333333334,0.09666666666666666,0.03212136056817926,-0.0027609679454797735,0.09666666666666666,1.7733625317239497e-6,2.7419002267147884e-6
0.09666666666666666,0.1,0.04298499937869724,-0.0038111196971631774,0.1,2.7419002267147884e-6,4.127695476966107e-6
0.1,0.10333333333333333,0.05632707767509563,-0.005145327526803017,0.10333333333333333,4.127695476966107e-6,6.065224488627313e-6
0.10333333333333333,0.10666666666666667,0.0724255169600933,-0.006808832919586109,0.10666666666666667,6.065224488627313e-6,8.718045692706319e-6
0.10666666666666667,0.11,0.091543005324336,-0.008848031678438664,0.11,8.718045692706319e-6,0.000012281803131698705
0.11,0.11333333333333333,0.11392211048412651,-0.01130973324601562,0.11333333333333333,0.000012281803131698705,0.000016987033436293744
0.11333333333333333,0.11666666666666667,0.13978131808260139,-0.014240443440509438,0.11666666666666667,0.000016987033436293744,0.000023101727232926203
0.11666666666666667,0.12,0.16931201781387364,-0.0176856917424912,0.12,0.000023101727232926203,0.00003093360622898347
0.12,0.12333333333333334,0.20267641139602488,-0.021689418972349352,0.12333333333333334,0.00003093360622898347,0.000040832087609540206
0.12333333333333334,0.12666666666666668,0.24000628075148364,-0.02629343619285593,0.12666666666666668,0.000040832087609540206,0.00005318991727980532
0.12666666666666668,0.13,0.28140253077205063,-0.03153696119546109,0.13,0.00005318991727980532,0.00006844446256964553
0.13,0.13333333333333333,0.32693540703428686,-0.037456235109551796,0.13333333333333333,0.00006844446256964553,0.00008707866306952093
0.13333333333333333,0.13666666666666666,0.37664528287993354,-0.04408421855563802,0.13666666666666666,0.00008707866306952093,0.00010962164518003086
0.13666666666666666,0.14,0.43054391051277546,-0.051450364332126415,0.14,0.00010962164518003086,0.0001366490116982781
