"re","im"
-3.923264378146765993067128874827e10,0
4.806129254575353e-7,0
1.41074237073147676737789879553e7,0.e-23
-1.64438554745582015289073751774e7,0.e-23
5.5287279957467179317745831213e7,0
826109.1279385539678514760453254,0
0.e-25,-271565.852070256994466035393998
0.e-25,-232980.3096068629884030087850988
0.e-25,0
-90828.,0
0,0.e-25
-232980.3096068629884030087850988,0.e-25
-90828.,0
271565.852070256994466035393998,0.e-25
-826109.1279385539678514760453254,0
1.0231815394945443e-12,0
-465.9606192137259768060175701976,0.e-28
543.1317041405139889320707879961,0.e-29
-1826.1091279385549910330155398697,0
1.023181539494544e-12,0
0,0.e-27
0,0
1.023181539494544e-12,0
0,0
-1.0231815394945443e-12,0
0.e-28,0.e-28
0.e-28,0.e-28
173.89087206144500896698446013,0
0.e-28,0.e-28
0,0.e-27
465.9606192137259768060175701976,0.e-28
0.e-28,0.e-29
173.89087206144500896698446013,0
-543.1317041405139889320707879961,0.e-29
1826.1091279385549910330155398697,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-30,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
