"re","im"
-1.948608386653234006932871125173e10,0
-4.806129254575353e-7,0
-1.41074237073147676737789879553e7,0.e-23
1.64438554745582015289073751774e7,0.e-23
3.5540720042532820682254168787e7,0
173890.8720614460321485239546746,0
0.e-26,-271565.852070256994466035393998
0.e-25,-232980.30960686298840300878509879
0.e-25,0
-90828.,0
0,0.e-25
232980.30960686298840300878509879,0.e-25
-90828.,0
-271565.852070256994466035393998,0.e-26
-173890.8720614460321485239546746,0
-1.0231815394945443e-12,0
465.9606192137259768060175701976,0.e-29
-543.1317041405139889320707879961,0.e-29
-1173.8908720614450089669844601303,0
-1.023181539494544e-12,0
0,0.e-27
0,0
-1.023181539494544e-12,0
0,0
1.0231815394945443e-12,0
0.e-28,0.e-29
0.e-28,0.e-28
826.1091279385549910330155398697,0
0.e-28,0.e-28
0,0.e-28
-465.9606192137259768060175701976,0.e-29
0.e-28,0.e-29
826.10912793855499103301553987,0
543.1317041405139889320707879961,0.e-29
1173.8908720614450089669844601303,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
