"re","im"
-1.601599221309604079983319671616e10,0.e-21
7.73341212632256126542149324085e7,0.e-23
-9.97118374078222896488291052115e6,-3.99866409576814141234107859422e7
-3.99866409576814141234107859422e7,9.97118374078222896488291052115e6
-6.5634488254533125043299809622e7,0.e-23
-1276.3893150997225580262677974,0.e-26
-107401.9765852350047907748376019,-430705.5598919479848518676590174
-430705.5598919479848518676590174,107401.97658523500479077483760193
-306783.7064227030055008071940392,0
-81132.241536069521653964616112,92517.25691729106093817238305869
185034.51383458212187634476611738,347944.1894948420488087364262641
65898.35290788551589989563395047,264266.8960810345940086443057241
266811.947958772527154771810152,-92517.25691729106093817238305869
264266.8960810345940086443057241,-65898.35290788551589989563395047
308060.0957378027280588334618367,0.e-26
-1000.,0
214.8039531704700095815496752039,861.4111197838959697037353180349
861.4111197838959697037353180349,-214.80395317047000958154967520386
613.5674128454060110016143880785,0
1000.,0
0,0
0,0
1000.,0
0,0
1000.,0
-214.8039531704700095815496752039,-861.4111197838959697037353180349
-861.4111197838959697037353180349,214.80395317047000958154967520386
-613.5674128454060110016143880785,0
-214.8039531704700095815496752039,-861.4111197838959697037353180349
0,0
-214.8039531704700095815496752039,-861.4111197838959697037353180349
-861.4111197838959697037353180349,214.80395317047000958154967520386
-613.5674128454060110016143880785,0
-861.4111197838959697037353180349,214.80395317047000958154967520386
-613.5674128454060110016143880785,0
1.,0
0,0
0,0
0,0
-2.,0
0,0
0,0
-2.,0
0,0
-2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.,0
0,0
0,0
2.,0
0,0
2.,0
0,0
0,0
0,0
0,0
1.,0
0,0
2.,0
0,0
1.,0
