"re","im"
5.670362830321055760307621402782e9,1.5485304652822161819322751596937e9
9.36445176100055449912079106022e7,2.557356429650905307722742699983e7
-2.058612963463123680440905084841e8,-2.760411257918943937043912368507e7
2.760411257918943937043912368507e7,-2.058612963463123680440905084841e8
-9.36445176100055449912079106022e7,-2.557356429650905307722742699983e7
-187289.0352200110899824158212043,-51147.12859301810615445485399966
0.e-25,0.e-26
0.e-26,0.e-25
0.e-25,0
411331.6037337785980670978752818,0.e-26
0.e-26,822663.2074675571961341957505637
175181.4694278750442431161366434,23490.22905082623622860549053763
-411331.6037337785980670978752818,0.e-26
-23490.22905082623622860549053763,175181.4694278750442431161366434
187289.0352200110899824158212043,51147.12859301810615445485399966
0.e-28,0
0.e-28,0.e-29
0.e-29,0.e-28
0.e-28,0
0.e-28,0
0,0
0,0
0.e-28,0
0,0
0.e-28,0
0.e-28,0.e-29
0.e-29,0.e-28
0.e-28,0
0.e-28,0.e-29
0,0
0.e-28,0.e-29
0.e-29,0.e-28
0.e-28,0
0.e-29,0.e-28
0.e-28,0
0.e-31,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0.e-31,0
