"re","im"
-2.328696093418989319211414112942e10,0
0.e-22,0
2.64438435914534310868475586176e7,0.e-23
3.54587699815596535938766464824e6,0.e-22
3.93415971101898931921141411294e7,0
299431.7977999039896985777886584,0
0.e-25,58559.20528068379837804968701676
0.e-26,-436712.9672257469792384654283524
0.e-25,0
-90828.,0
0,0.e-25
-436712.9672257469792384654283524,0.e-26
-90828.,0
-58559.20528068379837804968701676,0.e-25
-299431.7977999039896985777886584,0
0.e-28,0
-873.4259344514939584769308567047,0.e-29
-117.11841056136759675609937403351,0.e-28
-1299.4317977999039896985777886584,0
0.e-27,0
0,0.e-27
0,0
0.e-27,0
0,0
0.e-28,0
0.e-28,0.e-29
0.e-29,0.e-28
700.568202200096010301422211342,0
0.e-28,0.e-28
0,0.e-27
873.4259344514939584769308567047,0.e-29
0.e-29,0.e-28
700.568202200096010301422211342,0
117.11841056136759675609937403351,0.e-28
1299.4317977999039896985777886584,0
-1.,0
0,0
0,0
0,0
1.,0
0,0.e-31
0,0
1.,0
0,0
2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0.e-31
0,0
0.e-30,0
0,0
-1.,0
0,0.e-31
0,0
0,0.e-31
0,0
0.e-31,0
0,0
-1.,0
0,0
-1.,0
