"re","im"
4.717365333178193128440178897547e9,5.269567603559619930319043935801e9
7.79060201674295337633798866684e7,8.70254921977741433861646838387e7
-1.698760485339903012501477420435e8,-7.592661912544250123491399871956e7
-7.59266191254425012349139987196e7,1.698760485339903012501477420435e8
-7.79060201674295337633798866684e7,-8.70254921977741433861646838387e7
-155812.0403348590675267597733369,-174050.98439554828677232936767739
9.029734476531416e-10,4.035867424042992e-10
4.035867424042992e-10,-9.029734476531416e-10
0.e-25,0
371874.3401955097970865407174921,0.e-25
0.e-25,-743748.6803910195941730814349842
24494.2171510144014780789246709,10947.76522323471605710131718099
-371874.3401955097970865407174921,0.e-25
10947.765223234716057101317181,-24494.2171510144014780789246709
155812.0403348590675267597733369,174050.98439554828677232936767739
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0
0,0
0,0
0.e-28,0
0,0
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0.e-28
0,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0.e-28
0.e-28,0
0.e-31,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0.e-31,0
