"re","im"
-5.267179140572918934866652020786e9,-2.801052470427904160964107069485e9
-8.6986047373710512202184106566e7,-4.625862845864553046908619152935e7
-5.023320903802442344059550624629e7,2.014462220508698126812733340553e8
2.014462220508698126812733340553e8,5.023320903802442344059550624629e7
8.6986047373710512202184106566e7,4.625862845864553046908619152935e7
173972.0947474210244043682131321,92517.25691729106093817238305869
0.e-25,0.e-25
0.e-25,0.e-25
0.e-25,0
408436.5361037482198076226707778,0.e-26
0.e-26,-816873.0722074964396152453415556
41503.62367734948889087920365146,-166438.6638109133908432233532933
-408436.536103748219807622670778,0.e-26
-166438.6638109133908432233532933,-41503.62367734948889087920365146
-173972.0947474210244043682131321,-92517.25691729106093817238305869
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-29
0.e-28,0
0.e-28,0
0,0
0,0
0.e-28,0
0,0
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-29
0.e-28,0
0.e-28,0.e-28
0,0
0.e-28,0.e-28
0.e-28,0.e-29
0.e-28,0
0.e-28,0.e-29
0.e-28,0
0.e-31,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0.e-31,0
