"re","im"
-1.6039634338261172568863474163256e10,0.e-22
7.51057007668412938828378319701e7,0.e-23
-3.89390308580145526619897643097e7,-5.22136705930842517797338447154e6
-5.22136705930842517797338447154e6,3.89390308580145526619897643097e7
-6.2960894987221080267066114229e7,0.e-23
-495.502633730592916386769611,0.e-26
-436712.9672257469792384654283524,-58559.20528068379837804968701676
-58559.20528068379837804968701676,436712.9672257469792384654283524
-299431.7977999039896985777886584,0
276452.934119963084831704715534,51147.12859301810615445485399966
102294.25718603621230890970799932,-374578.0704400221799648316424087
261531.497797871934995349291709,35068.97622985756214944419647913
-98125.136320059095133126926875,-51147.12859301810615445485399966
35068.97622985756214944419647913,-261531.497797871934995349291709
299927.3004336345826149645582695,0.e-26
-1000.,0
873.4259344514939584769308567047,117.11841056136759675609937403351
117.11841056136759675609937403351,-873.4259344514939584769308567047
598.8635955998079793971555773169,0
1000.,0
0,0
0,0
1000.,0
0,0
1000.,0
-873.4259344514939584769308567047,-117.11841056136759675609937403351
-117.11841056136759675609937403351,873.4259344514939584769308567047
-598.8635955998079793971555773169,0
-873.4259344514939584769308567047,-117.11841056136759675609937403351
0,0
-873.4259344514939584769308567047,-117.11841056136759675609937403351
-117.11841056136759675609937403351,873.4259344514939584769308567047
-598.8635955998079793971555773169,0
-117.11841056136759675609937403351,873.4259344514939584769308567047
-598.8635955998079793971555773169,0
1.,0
0,0
0,0
0,0
-2.,0
0,0
0,0
-2.,0
0,0
-2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.,0
0,0
0,0
2.,0
0,0
2.,0
0,0
0,0
0,0
0,0
1.,0
0,0
2.,0
0,0
1.,0
