"re","im"
0.e-21,0
0.e-22,0
2.339883634747059937103585980367e8,-1.0458181425014036822233265411342e8
1.0458181425014036822233265411342e8,2.339883634747059937103585980367e8
0.e-22,0
0.e-25,0
0.e-25,0.e-26
0.e-26,0.e-25
0.e-25,0
63072.9969282855768426543363603,0
0,126145.9938565711536853086727206
-441257.6912300499998309533111751,197221.47381767300089450145605952
-63072.9969282855768426543363603,0
-197221.47381767300089450145605952,-441257.6912300499998309533111751
0.e-25,0
0.e-28,0
-441.2576912300499998309533111751,197.22147381767300089450145605952
-197.2214738176730008945014560595,-441.2576912300499998309533111751
0.e-28,0
2.046363078989089e-12,0
0,4.092726157978177e-12
0,0
-2.046363078989089e-12,0
0,0
0.e-28,0
-441.2576912300499998309533111751,-197.22147381767300089450145605952
591.6644214530190026835043681785,-1323.7730736901499994928599335253
1055.5100061434267999516123381909,0
1323.7730736901499994928599335253,591.6644214530190026835043681785
0,2111.0200122868535999032246763818
441.2576912300499998309533111751,-197.22147381767300089450145605952
-197.2214738176730008945014560595,441.2576912300499998309533111751
-1055.5100061434267999516123381909,0
197.2214738176730008945014560595,441.2576912300499998309533111751
0.e-28,0
0.e-31,0
0,0
0,0
0,0
1.,0
0,2.
0,0
-1.,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1.,0
0,-2.
0,0
0.e-31,0
0,0
-1.,0
0,-2.
0,0
0,-2.
0,0
1.,0
0,0
1.,0
0,0
0.e-31,0
