"re","im"
-1.461819624074035832116379189339e10,0.e-21
1.41783668561898260511055853672e8,0.e-23
-7.74718328003966862550927984424e7,-3.462627246600173476250058147751e7
3.46262724660017347625005814775e7,-7.74718328003966862550927984424e7
-1.401030476158998087600322590473e8,0.e-23
-47444.838659651562326328391128,0.e-26
-441257.6912300509028044009643168,-197221.4738176734044812438603587
197221.4738176734044812438603587,-441257.6912300509028044009643168
-472244.9969282876232057333254488,0
331382.538799001855948086941517,174050.9843955482867723293676774
-348101.9687910965735446587353548,311624.0806697181350535195466737
416763.4740790355983528743865042,186273.7085944382848374001388785
19758.458129283720894567394843,-174050.9843955482867723293676774
-186273.7085944382848374001388785,416763.4740790355983528743865042
519689.8355879391855320617165768,0.e-26
-1000.0000000000020463630789890885,0
882.5153824600999996619066223502,394.442947635346001789002912119
-394.442947635346001789002912119,882.5153824600999996619066223502
944.4899938565732000483876618091,0
1000.0000000000020463630789890885,0
0,0
0,0
1000.0000000000020463630789890885,0
0,0
1000.0000000000020463630789890885,0
-882.5153824600999996619066223502,-394.442947635346001789002912119
394.442947635346001789002912119,-882.5153824600999996619066223502
-944.4899938565732000483876618091,0
-882.5153824600999996619066223502,-394.442947635346001789002912119
0,0
-882.5153824600999996619066223502,-394.442947635346001789002912119
394.442947635346001789002912119,-882.5153824600999996619066223502
-944.4899938565732000483876618091,0
394.442947635346001789002912119,-882.5153824600999996619066223502
-944.4899938565732000483876618091,0
1.,0
0,0
0,0
0,0
-2.,0
0,0
0,0
-2.,0
0,0
-2.,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.,0
0,0
0,0
2.,0
0,0
2.,0
0,0
0,0
0,0
0,0
1.,0
0,0
2.,0
0,0
1.,0
