"re","im"
-5.89418840091582371136511241899e8,3.831094539593078704846679078083e9
-9.7340936730674853206584628402e6,6.326949629398002881567378580531e7
1.244484276127194806330616421532e8,1.45059225564941581236558256914e8
1.45059225564941581236558256914e8,-1.244484276127194806330616421532e8
9.7340936730674853206584628402e6,-6.326949629398002881567378580531e7
19468.1873461349706413169256804,-126538.99258796005763134757161061
4.767623037109313e-10,5.557223331907864e-10
5.557223331907864e-10,-4.767623037109313e-10
0.e-25,0
477451.1633248458505969640175049,0.e-25
0.e-25,-954902.3266496917011939280350097
-151954.0111854972695013095908028,-177120.2063930442739712718230256
-477451.1633248458505969640175049,0.e-25
-177120.2063930442739712718230256,151954.0111854972695013095908028
-19468.1873461349706413169256804,126538.99258796005763134757161061
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0
0,0
0,0
0.e-28,0
0,0
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0.e-28
0,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0.e-28
0.e-28,0
0.e-31,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0.e-31,0
