"re","im"
0.e-20,0
0.e-22,0
-2.339883634747059937103585980367e8,1.0458181425014036822233265411342e8
-1.0458181425014036822233265411342e8,-2.339883634747059937103585980367e8
0.e-22,0
0.e-25,0
0.e-25,0.e-26
0.e-26,0.e-25
0.e-25,0
118583.0030717144231573456636397,0
0,237166.0061434288463146913272794
441257.6912300499998309533111751,-197221.47381767300089450145605952
-118583.0030717144231573456636397,0
197221.47381767300089450145605952,441257.6912300499998309533111751
0.e-25,0
0.e-28,0
441.2576912300499998309533111751,-197.22147381767300089450145605952
197.2214738176730008945014560595,441.2576912300499998309533111751
0.e-28,0
-2.046363078989089e-12,0
0,-4.092726157978177e-12
0,0
2.046363078989089e-12,0
0,0
0.e-28,0
441.2576912300499998309533111751,197.22147381767300089450145605952
-591.6644214530190026835043681785,1323.7730736901499994928599335253
944.4899938565732000483876618091,0
-1323.7730736901499994928599335253,-591.6644214530190026835043681785
0,1888.9799877131464000967753236182
-441.2576912300499998309533111751,197.22147381767300089450145605952
197.2214738176730008945014560595,-441.2576912300499998309533111751
-944.4899938565732000483876618091,0
-197.2214738176730008945014560595,-441.2576912300499998309533111751
0.e-28,0
0.e-31,0
0,0
0,0
0,0
1.,0
0,2.
0,0
-1.,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1.,0
0,-2.
0,0
0.e-31,0
0,0
-1.,0
0,-2.
0,0
0,-2.
0,0
1.,0
0,0
1.,0
0,0
0.e-31,0
