"re","im"
0.e-21,0
0.e-22,0
2.31578405408600205162656493485e8,3.10525411394198818687186758325e7
-3.10525411394198818687186758325e7,2.31578405408600205162656493485e8
0.e-22,0
0.e-25,0
0.e-25,0.e-26
0.e-26,0.e-25
0.e-25,0
-109740.2022000960103014222113416,0
0,-219480.4044001920206028444226831
-436712.9672257469792384654283524,-58559.20528068379837804968701676
109740.2022000960103014222113416,0
58559.20528068379837804968701676,-436712.9672257469792384654283524
0.e-25,0
0.e-28,0
-436.7129672257469792384654283524,-58.55920528068379837804968701676
58.55920528068379837804968701676,-436.7129672257469792384654283524
0.e-28,0
0.e-27,0
0,0.e-27
0,0
0.e-27,0
0,0
0.e-28,0
-436.7129672257469792384654283524,58.55920528068379837804968701676
-175.67761584205139513414906105027,-1310.1389016772409377153962850571
1401.1364044001920206028444226831,0
1310.1389016772409377153962850571,-175.6776158420513951341490610503
0,2802.2728088003840412056888453662
436.7129672257469792384654283524,58.55920528068379837804968701676
58.55920528068379837804968701676,436.7129672257469792384654283524
-1401.1364044001920206028444226831,0
-58.55920528068379837804968701676,436.7129672257469792384654283524
0.e-28,0
0.e-31,0
0,0
0,0
0,0
1.,0
0,2.
0,0
-1.,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-1.,0
0,-2.
0,0
0.e-31,0
0,0
-1.,0
0,-2.
0,0
0,-2.
0,0
1.,0
0,0
1.,0
0,0
0.e-31,0
