"re","im"
-2.078860681439599412648597108283e9,-6.25407734918503260918442079638e9
-3.43318252318602096156790379886e7,-1.0328440595166192048461521991644e8
8.36641192877617412659775199556e7,-1.159751108844818259902346164108e8
-1.159751108844818259902346164108e8,-8.36641192877617412659775199556e7
3.43318252318602096156790379886e7,1.0328440595166192048461521991644e8
68663.6504637204192313580759771,206568.81190332384096923043983288
0.e-25,0.e-25
0.e-25,0.e-25
0.e-25,0
387797.1887567205646275356061294,0.e-25
0.e-25,-775594.3775134411292550712122587
70534.9315739728041771337523307,-97775.4451987333042095573685585
-387797.1887567205646275356061294,0.e-25
-97775.4451987333042095573685585,-70534.9315739728041771337523307
-68663.6504637204192313580759771,-206568.81190332384096923043983288
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0
0,0
0,0
0.e-28,0
0,0
0.e-28,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0.e-28
0,0
0.e-28,0.e-28
0.e-28,0.e-28
0.e-28,0
0.e-28,0.e-28
0.e-28,0
0.e-31,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0,0
0,0
0,0
0.e-31,0
0,0
0.e-31,0
0,0
0.e-31,0
