id,tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
52,-3.12304271618008423e-004,0.0000000000000000,4.59702601811323849e-004,2.82239494036567507e-004,8.23144063138900837e-005,2.45679367660710216e-005,7.82021715623917254e-006,-9.74227968197455760e-020
53,4.32048827946086616e-004,-0.0000000000000000,-6.16453101908874990e-004,-3.91518943559280284e-004,-1.13875620671509891e-004,-3.39878421446817468e-005,-1.08186661647188217e-005,-1.85453396765429634e-019
54,5.51360501931197214e-004,-0.0000000000000000,-7.72057827322051075e-004,-5.01431238667130862e-004,-1.45322739722957071e-004,-4.33736941111321708e-005,-1.38062756359544241e-005,4.02369988597041645e-020
55,6.65200446507789849e-004,-0.0000000000000000,-9.19700799301368006e-004,-6.07739903335562754e-004,-1.75327668581710364e-004,-5.23291033512046424e-005,-1.66568709319808695e-005,-2.35102393161085657e-021
56,7.68503365409033026e-004,-0.0000000000000000,-1.05250206314370150e-003,-7.06196442817638541e-004,-2.02555341092373247e-004,-6.04555997863547205e-005,-1.92436151171952017e-005,3.34064697304623618e-020
57,8.56193505998953234e-004,-0.0000000000000000,-1.16353215747291155e-003,-7.92553978800816968e-004,-2.25667935205279137e-004,-6.73538911458521018e-005,-2.14394094246967714e-005,-2.76217393811972183e-019
58,9.23191268242643664e-004,-0.0000000000000000,-1.24580995705307618e-003,-8.62573517202233349e-004,-2.43326614654128086e-004,-7.26243819324991782e-005,-2.31170587471881198e-005,2.53283735827187485e-019
59,9.64405609902440611e-004,-0.0000000000000000,-1.29227560014862942e-003,-9.12018207160178018e-004,-2.54189527440166780e-004,-7.58665769069330546e-005,-2.41490814603544619e-005,7.50604567149158547e-020
60,9.74705850916275781e-004,-0.0000000000000000,-1.29572658159852767e-003,-9.36629721906840967e-004,-2.56904374148511617e-004,-7.66768625572214582e-005,-2.44070033935319310e-005,-3.58642739127687594e-019
61,9.48863944658990340e-004,-0.0000000000000000,-1.24870001681002076e-003,-9.32077211136046703e-004,-2.50093192346602031e-004,-7.46439658710794569e-005,-2.37599122807220149e-005,5.46430861393704943e-019
62,8.81454161458852196e-004,-0.0000000000000000,-1.14327539145230180e-003,-8.93863749150433477e-004,-2.32325916046718863e-004,-6.93410627678739324e-005,-2.20719457975358123e-005,9.09111912063578671e-020
63,7.66690283501686855e-004,-0.0000000000000000,-9.70758271931026909e-004,-8.17164567339578526e-004,-2.02077464974347054e-004,-6.03129707659907064e-005,-1.91982148600198464e-005,3.77959571795587670e-019
64,5.98168710075768851e-004,-0.0000000000000000,-7.21182896114506825e-004,-6.96551559241738536e-004,-1.57660034514811045e-004,-4.70559399280770507e-005,-1.49783708828672233e-005,-9.12280255678835325e-019
65,3.68465156583762236e-004,-0.0000000000000000,-3.82534935274972724e-004,-5.25520778004354323e-004,-9.71167971948242559e-005,-2.89859265147174132e-005,-9.22650696996880904e-006,-4.30236518362347191e-019
66,6.84943417145204614e-005,-0.0000000000000000,6.04634299576863911e-005,-2.95666921067186915e-004,-1.80531346711025012e-005,-5.38822170809138967e-006,-1.71512423885010613e-006,-2.88987497422249081e-019
67,3.13532519017370199e-004,-0.0000000000000000,-6.28259045934457562e-004,-4.79098459631351059e-006,-8.26381369285454648e-005,-2.46645588982293256e-005,-7.85097293551776970e-006,-1.45466552358338690e-018
68,7.93872567978688866e-004,-0.0000000000000000,-1.34947392166607973e-003,-3.93692233268627678e-004,-2.09241931851112046e-004,-6.24513105401078858e-005,-1.98788695506594823e-005,-1.41503002527361020e-018
69,1.39640823496542084e-003,-0.0000000000000000,-2.26572361910870514e-003,-8.99864417239727363e-004,-3.68052970363280402e-004,-1.09850784423153047e-004,-3.49665906872886702e-005,-1.28013489194465054e-018
70,2.15874373060653693e-003,-0.0000000000000000,-3.43978697520971053e-003,-1.57218511482539423e-003,-5.68982638748611290e-004,-1.69821178535264059e-004,-5.40557600111964023e-005,-1.17495801293242255e-018
71,3.14533941104195051e-003,-0.0000000000000000,-4.97194341371394021e-003,-2.49636667654573076e-003,-8.29020829322793572e-004,-2.47433374376512675e-004,-7.87604892358842516e-005,1.56592008327792565e-018
72,4.48093382216440718e-003,-0.0000000000000000,-7.04493738843115641e-003,-3.82918114782351479e-003,-1.18104502821220702e-003,-3.52500137849344518e-004,-1.12204278758135537e-004,-1.70381007213161603e-018
73,6.46322711986158701e-003,-0.0000000000000000,-1.01061172219240377e-002,-5.89988343791558907e-003,-1.70352041762035348e-003,-5.08440548581893864e-004,-1.61841653150330314e-004,-3.15941852476240828e-018
74,1.02398965892985389e-002,-0.0000000000000000,-1.61109818742534126e-002,-9.85309584554421372e-003,-2.69894165725478256e-003,-8.05538555701973001e-004,-2.56410885981795300e-004,-2.06553323765980188e-017
75,-9.97547275924103738e-005,0.0000000000000000,1.74864599924145407e-004,8.94793593112687690e-005,2.62924716491658476e-005,7.84737222714927492e-006,2.49789614218959649e-006,-6.05943174936546424e-019
