id,ct0_re,ct0_im
159,+8.87455e-4,+5.50206e-4
160,+7.58963e-4,+4.70543e-4
161,+5.65026e-4,+3.50306e-4
162,+2.99330e-4,+1.85579e-4
163,+4.49102e-5,+2.78435e-5
164,+4.75420e-4,+2.94752e-4
165,+1.00160e-3,+6.20975e-4
166,+1.63571e-3,+1.01411e-3
167,+2.39485e-3,+1.48476e-3
168,+3.30444e-3,+2.04869e-3
169,+4.40488e-3,+2.73094e-3
170,+5.76546e-3,+3.57448e-3
171,+7.51759e-3,+4.66077e-3
172,+9.95048e-3,+6.16912e-3
173,+1.38824e-2,+8.60683e-3
174,+2.32077e-2,+1.43883e-2
175,-1.69171e-4,-1.04883e-4
176,-3.39583e-4,-2.10536e-4
177,-5.02919e-4,-3.11800e-4
178,-6.51115e-4,-4.03679e-4
179,-7.76390e-4,-4.81348e-4
180,+8.71267e-4,+5.40170e-4
181,+9.28583e-4,+5.75704e-4
182,+9.41498e-4,+5.83712e-4
183,+9.03478e-4,+5.60140e-4
184,+8.08248e-4,+5.01099e-4
185,+6.49710e-4,+4.02809e-4
186,+4.21806e-4,+2.61512e-4
187,+1.18297e-4,+7.33418e-5
188,+2.67571e-4,+1.65889e-4
189,+7.43586e-4,+4.61010e-4
190,+1.31939e-3,+8.17996e-4
191,+2.00778e-3,+1.24478e-3
192,+2.82693e-3,+1.75264e-3
193,+3.80434e-3,+2.35862e-3
194,+4.98440e-3,+3.09024e-3
195,+6.44439e-3,+3.99540e-3
196,+8.33314e-3,+5.16639e-3
197,+1.09837e-2,+6.80968e-3
198,+1.53538e-2,+9.51911e-3
199,+2.60695e-2,+1.61626e-2
200,-1.78468e-4,-1.10647e-4
201,-3.55060e-4,-2.20131e-4
202,-5.21131e-4,-3.23092e-4
203,-6.68352e-4,-4.14366e-4
204,-7.88732e-4,-4.89000e-4
205,+8.74638e-4,+5.42260e-4
206,+9.18807e-4,+5.69643e-4
207,+9.14344e-4,+5.66876e-4
208,+8.54700e-4,+5.29898e-4
209,+7.33618e-4,+4.54830e-4
210,+5.45039e-4,+3.37914e-4
211,+2.82940e-4,+1.75418e-4
212,+5.89020e-5,+3.65182e-5
213,+4.87289e-4,+3.02110e-4
214,+1.01018e-3,+6.26291e-4
215,+1.63758e-3,+1.01527e-3
216,+2.38303e-3,+1.47744e-3
217,+3.26608e-3,+2.02491e-3
218,+4.31672e-3,+2.67629e-3
219,+5.58400e-3,+3.46198e-3
220,+7.15441e-3,+4.43561e-3
221,+9.19653e-3,+5.70168e-3
222,+1.20921e-2,+7.49691e-3
223,+1.69525e-2,+1.05102e-2
224,+2.91975e-2,+1.81019e-2
225,-1.88515e-4,-1.16876e-4
226,-3.72008e-4,-2.30638e-4
227,-5.41486e-4,-3.35712e-4
228,-6.88329e-4,-4.26751e-4
229,-8.04309e-4,-4.98657e-4
230,+8.81613e-4,+5.46584e-4
231,+9.12844e-4,+5.65947e-4
232,+8.91023e-4,+5.52418e-4
233,+8.09551e-4,+5.01907e-4
234,+6.62151e-4,+4.10521e-4
235,+4.42753e-4,+2.74499e-4
236,+1.45324e-4,+9.00984e-5
237,+2.36410e-4,+1.46570e-4
238,+7.09377e-4,+4.39801e-4
239,+1.28180e-3,+7.94695e-4
240,+1.96422e-3,+1.21778e-3
241,+2.77109e-3,+1.71803e-3
242,+3.72362e-3,+2.30858e-3
243,+4.85476e-3,+3.00986e-3
244,+6.21896e-3,+3.85564e-3
245,+7.91320e-3,+4.90604e-3
246,+1.01283e-2,+6.27934e-3
247,+1.33003e-2,+8.24592e-3
248,+1.87094e-2,+1.15995e-2
249,+3.26429e-2,+2.02380e-2
250,-1.99600e-4,-1.23748e-4
251,-3.90937e-4,-2.42374e-4
252,-5.64635e-4,-3.50063e-4
253,-7.11747e-4,-4.41271e-4
254,-8.23777e-4,-5.10727e-4
255,+8.92691e-4,+5.53453e-4
256,+9.10928e-4,+5.64759e-4
257,+8.71380e-4,+5.40240e-4
258,+7.67363e-4,+4.75751e-4
259,+5.92536e-4,+3.67362e-4
260,+3.40776e-4,+2.11275e-4
261,+5.98096e-6,+3.70809e-6
262,+4.18237e-4,+2.59299e-4
