name,ct0_re,ct0_im
4,-3.0112229584752835e-3,-1.6799198296881157e-3
5,-3.9205634752327860e-4,-1.7533800488363796e-4
6,+2.0130102102006397e-4,+5.6404038991707043e-5
7,+7.1442810006843105e-5,-1.0258863926468896e-4
8,-1.1213978314522062e-5,-3.6873471265729601e-6
