n,tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
4,-2.191925008913552481233093430859703557e-0003,1.011300973579323877623925798184818210e-0004,3.01166237633513755e-003,1.74697172638958124e-003,5.85683835429167180e-004,1.45776459777306256e-004,5.48866317778270643e-005,-2.53233591153855648e-006
5,2.708374088211969718294040918978907115e-0004,-3.663165228938185386504986826455895485e-0005,-3.32128540477769475e-004,-2.36524101044823822e-004,-7.42666262908819993e-005,-1.16508288624765011e-005,-6.78187121769193308e-006,9.17270437532339248e-007
6,1.277868477375206987449114347919889406e-0004,-3.699355019827652539925358067971379987e-0005,-1.84107790710892112e-004,-1.71515829941728284e-004,-3.65910899983978223e-005,-3.02131845760573266e-007,-3.19983102954884903e-006,9.26332497559893505e-007
7,-4.240109237656024374870035020556603264e-0006,7.944103417842872986392493276915311987e-0005,-5.39308105478177686e-004,3.53471120153068123e-005,7.36693234295158682e-006,-2.06048123108877350e-005,1.06173963683790355e-007,-1.98923357874515012e-006
8,-7.301507993830330106199033533000908137e-0006,1.765937120758046385462987577634236353e-0006,8.42196217703254266e-005,2.46818378275480852e-005,2.06338764204334170e-006,1.08936505495934901e-007,1.82832522805927782e-007,-4.42197328633238150e-008
9,6.717093339229802986862005359946212939e-0005,-5.978482642472585014031100602890832226e-0005,3.11366813066368299e-003,1.67485078223046798e-003,-7.22605152700185180e-006,-3.03856156244976954e-006,-1.68198559358494199e-006,1.49703467984298787e-006
10,-1.030403975286714657040870520468708087e-0004,-4.603617452014554939430549146391851252e-0004,-3.44819730720633368e-004,4.64412806844120320e-003,-9.05664315875953603e-006,1.29443936149458707e-004,2.58017055324405698e-006,1.15276323231839798e-005
