seed,re_rel,re_err_rel,im_rel,im_err_rel
0.0,1.0035821009176247,0.008914649453110992,0.9992840395035827,0.0009620090265284264
1.0,0.9986998179360799,0.0007630442903989042,1.000171393250304,0.004019709730650965
2.0,0.9984221680847547,0.0009357064119051994,0.9985267614403668,0.0018647126718198033
3.0,1.000765627804923,0.000878706972795971,0.9941283483154273,0.0036940521500100658
4.0,1.0002466938111911,0.00040560096835234546,0.9833946545532564,0.0076098078392474915
5.0,1.000357568846524,0.000279172454798519,0.9866741946473306,0.009648866378870798
6.0,0.9912053347217954,0.003673339200796883,0.9989903582704915,0.0029791059443644114
7.0,1.0002948948113792,0.00047092141748708956,1.0004115700944336,0.0006926751557654465
8.0,1.0041522122675117,0.0012277474948945008,1.0087803936162782,0.0014074728789839747
9.0,0.9989251453017496,0.002353851175430207,0.9991610431422456,0.005321638782036428
