seed,re_rel,re_err_rel,im_rel,im_err_rel
0.0,1.0019740283804162,0.09572690374896467,0.9700842705300772,0.06417048166368199
1.0,0.998372272017561,0.004219743491988817,0.9665921918372546,0.022782934539023678
2.0,0.8340976347528444,0.11866810918320402,0.8570091362321821,0.03746139461900217
3.0,1.0295631725977081,0.006551218001181406,1.2610185316951932,0.0877372913309834
4.0,0.921305102381214,0.02172597377493427,2.185562882978199,0.09004698311660136
5.0,1.4165127350233508,0.07398689409563526,0.7763161285566617,0.22885998304539712
6.0,-0.0735367557852419,3.4728075202052637,1.105340687308935,0.05737355589115452
7.0,1.3110760083681354,0.08587882700870608,2.112674751390181,0.2187012673188184
8.0,0.864618541667268,0.18403515355180436,0.963597265922244,0.039358495632340625
9.0,0.8809878909914781,0.04204514143602342,0.8858175714878326,0.015493029850672104
