0_5_re,integrand_re,0_2_im,0_4_re,0_0_re,rescaled_integrand_re,rescaled_integrand_im,0_5_im,0_3_re,0_1_im,deform_jac_im,0_3_im,0_0_im,param_jac,0_1_re,integrand_im,deform_jac_re,0_4_im,0_2_re
0.0,-322964358.9081222,0.0,0.0,8381038261.723427,-1.247171340244086e-05,-4.525108810197939e-08,0.0,0.0,18462482220.73717,-1.8207657603854206e-16,0.0,-18462482220.73717,1.8294204742467196e+56,-8381038261.723427,-290667923.01730984,1.0,0.0,0.0
0.0,-223485412.02376688,0.0,0.0,5919487304.618036,-1.2261361562842198e-05,1.765391627865689e-08,0.0,0.0,13039963033.758736,-2.5823787552784435e-16,0.0,-13039963033.758736,4.5211621784120963e+55,-5919487304.618036,79816218.57991682,1.0,0.0,0.0
0.0,2.3180809031514506e-08,0.0,0.0,4173434714.7184515,1.800456463975214e-21,1.9835611172526604e-08,0.0,0.0,9193606068.092834,-3.659295089165177e-16,0.0,-9193606068.092834,1.1213472319723882e+55,-4173434714.7184515,63347744.488141075,1.0,0.0,0.0
0.0,6.104399657641359e-09,0.0,0.0,2944282189.2678604,6.720693107054686e-22,5.223497549406091e-09,0.0,0.0,6485921657.278717,-5.186961971050061e-16,0.0,-6485921657.278717,2.7776504464084673e+54,-2944282189.2678604,11768738.023744503,1.0,0.0,0.0
0.0,11649839.122424897,0.0,0.0,2078112030.739818,1.8197659606831303e-06,1.9563414847112063e-08,0.0,0.0,4577846469.865335,-7.35411731511971e-16,0.0,-4577846469.865335,6.873969998674173e+53,-2078112030.739818,31066237.659799654,1.0,0.0,0.0
0.0,9624709.82227969,0.0,0.0,1465645761.3560164,2.1298490664522066e-06,8.586362563025049e-10,0.0,0.0,3228652341.8607054,-1.0422773755186336e-15,0.0,-3228652341.8607054,1.7037136530995522e+53,-1465645761.3560164,962470.9822279587,1.0,0.0,0.0
0.0,5720579.709485142,0.0,0.0,1034101062.5226467,1.794794024940685e-06,-1.205934610330745e-09,0.0,0.0,2278008032.5450363,-1.4774848011722367e-15,0.0,-2278008032.5450363,4.21927428404695e+52,-1034101062.5226467,-953429.9515808658,1.0,0.0,0.0
0.0,1416955.0036019264,0.0,0.0,729557490.7071587,6.301865944990424e-07,3.810840872217469e-09,0.0,0.0,1607132885.039518,-2.094324713655062e-15,0.0,-1607132885.039518,1.0450902027352953e+52,-729557490.7071587,2125432.50540288,1.0,0.0,0.0
0.0,-1871734.8490680892,0.0,0.0,514717929.6831602,-1.1801098461963874e-06,2.6761185941878692e-09,0.0,0.0,1133865558.0268857,-2.9687363678520225e-15,0.0,-1133865558.0268857,2.588471071646733e+51,-514717929.6831602,1052850.8526008076,1.0,0.0,0.0
0.0,-695410.1474295128,0.0,0.0,363137519.82848364,-6.215387906145966e-07,-1.4616568536409318e-09,0.0,0.0,799951007.7574933,-4.2081893525479414e-15,0.0,-799951007.7574933,6.411339193145134e+50,-363137519.82848364,-405655.9193338785,1.0,0.0,0.0
0.0,459353.7134300787,0.0,0.0,256186907.1814412,5.819578304266731e-07,2.9326614072929695e-10,0.0,0.0,564350868.1529667,-5.965006266723618e-15,0.0,-564350868.1529667,1.5881306578483291e+50,-256186907.1814412,57419.21417875705,1.0,0.0,0.0
0.0,-56898.84268205224,0.0,0.0,180725060.00993532,-1.0216827619279744e-07,-7.207995544777515e-10,0.0,0.0,398116928.1278099,-8.455014466370657e-15,0.0,-398116928.1278099,3.9343448770534286e+49,-180725060.00993532,-99572.97469358947,1.0,0.0,0.0
0.0,70469.20165331349,0.0,0.0,127499935.78440987,1.7936620343358046e-07,1.5185192626249291e-09,0.0,0.0,280867981.2761824,-1.1984857550899523e-14,0.0,-280867981.2761824,9.745370184909216e+48,-127499935.78440987,147985.32347195374,1.0,0.0,0.0
0.0,-27929.460150755993,0.0,0.0,89948289.26483998,-1.0076626094296327e-07,2.0311665840668024e-10,0.0,0.0,198145938.4246106,-1.6988188633746864e-14,0.0,-198145938.4246106,2.4140238026681857e+48,-89948289.26483998,13964.73007537859,1.0,0.0,0.0
0.0,-13836.22853309893,0.0,0.0,63457777.62743596,-7.076193250214104e-08,-2.139544596236649e-10,0.0,0.0,139790328.4332516,-2.408051535980117e-14,0.0,-139790328.4332516,5.979525711876777e+47,-63457777.62743596,-10377.17139982368,1.0,0.0,0.0
0.0,-5141.096871603634,0.0,0.0,44767825.83159888,-3.726880687479311e-08,-3.505763940602404e-10,0.0,0.0,98618472.15943094,-3.4133362803466144e-14,0.0,-98618472.15943094,1.4811994399322575e+47,-44767825.83159888,-11995.892700407348,1.0,0.0,0.0
