x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
30538555088334.125,2.616863001032829e+25,7.430287177790134e+24,18462482220.737175,8381038261.723423,1.5973220546597318e+24,2.8262155083296226e+24,2.813936674467539e+25,5.483501836002531e+24,1.1473253210305824e+25,8.138224718661644e+24,1.1099838530618477e+25,9.017654885203673e+24,0.0,1.0,1.9297796854659702e+18,4.691715084292711e+19,1.8294204742467196e+56,300.4274763377669,1811770.379091691
21544346900318.867,1.30317096344204e+25,3.7002068875253014e+24,13039963033.758736,5919487304.618032,7.954500178559508e+23,1.4074263671545366e+24,1.4013116336940208e+25,2.7307277331061066e+24,5.71356254950587e+24,4.052752529704575e+24,5.527605864842027e+24,4.490699742439923e+24,0.0,1.0,1.3016833777539123e+18,2.00156927383825e+19,4.5211621784120963e+55,287.90902126211483,1098146.1535841248
15199110829529.332,6.483857071106162e+24,1.8410180448517728e+24,9193606068.092838,4173434714.718448,3.957718801042191e+23,7.0025742275849e+23,6.972150699975605e+24,1.3586589034181798e+24,2.842752330820224e+24,2.0164252338589702e+24,2.7502305820550117e+24,2.2343235151838716e+24,0.0,1.0,7.952228152780398e+17,1.8963688329654595e+18,1.1213472319723882e+55,249.00224446554756,147291.21484724648
10722672220103.254,3.227034506475454e+24,9.162800309487835e+23,6485921657.278719,2944282189.267857,1.9697681484689043e+23,3.485201542654767e+23,3.470059664552383e+24,6.762084845143844e+23,1.4148460961301426e+24,1.0035806986535856e+24,1.3687977529001105e+24,1.112029306484666e+24,0.0,1.0,2.0544014670736816e+17,7.437190624180221e+17,2.7776504464084673e+54,91.18361719926604,81880.41178007076
7564633275546.291,1.606481188513088e+24,4.561422042979965e+23,4577846469.865336,2078112030.7398148,9.8058929022847e+22,1.7350018121023406e+23,1.7274638876452423e+24,3.3662987107992595e+23,7.04338188362517e+23,4.996021921385253e+23,6.814144182532141e+23,5.5359004013069084e+23,0.0,1.0,1.1753965723468384e+17,2.7108493940991312e+17,6.873969998674173e+53,74.01852456839494,42344.88905880502
5336699231206.302,7.994346113977868e+23,2.269904362668656e+23,3228652341.860707,1465645761.356013,4.8797148935195304e+22,8.633904395209767e+22,8.596393357096141e+23,1.675174114057022e+23,3.505004166450102e+23,2.48617467282897e+23,3.3909284126838133e+23,2.754834863738327e+23,0.0,1.0,2.07787097347036e+16,113693291466965.64,1.7037136530995522e+53,18.537030068275488,25.159153383747448
3764935806792.4717,3.9790299105337395e+23,1.1298006396442359e+23,2278008032.545038,1034101062.5226434,2.428782947268436e+22,4.2973575753945275e+22,4.278687187535214e+23,8.337852539972263e+22,1.7445474859369964e+23,1.2374449698520038e+23,1.6877685036623885e+23,1.3711653417444573e+23,0.0,1.0,7063636869782004.0,4666007591931967.0,4.21927428404695e+52,8.934357644160878,1463.929002237622
2656087782946.684,1.9803992116506962e+23,5.623120072936995e+22,1607132885.0395198,729557490.7071552,1.2088272624710805e+22,2.1388337725139038e+22,2.1295413514391067e+23,4.149824698052092e+22,8.682770784634238e+22,6.158875650239272e+22,8.400176649221374e+22,6.824414047868347e+22,0.0,1.0,2632605722944283.0,687127065239595.6,1.0450902027352953e+52,4.720188227067706,305.59775302018875
1873817422860.387,9.856776415166432e+22,2.7987204291187297e+22,1133865558.0268874,514717929.6831568,6.016534434389935e+21,1.064533158812184e+22,1.0599081662171888e+23,2.0654368053772998e+22,4.321559500972659e+22,3.065374894924355e+22,4.1809076974063115e+22,3.396624429995161e+22,0.0,1.0,645250320352088.9,724417852861250.9,2.588471071646733e+51,1.640086414836779,456.7381118899651
1321941148466.0288,4.905836739672724e+22,1.392956979740058e+22,799951007.7574948,363137519.8284803,2.9945018970218394e+21,5.298310178838098e+21,5.275291031768424e+22,1.0279928585679748e+22,2.1508923891112936e+22,1.5256741298555723e+22,2.080888286717858e+22,1.6905410265673355e+22,0.0,1.0,111612972865392.3,196513928199151.0,6.411339193145134e+50,0.402163160867539,175.6388366251217
