x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
3.2745491628777315e-14,1.8828233589988514e-08,4.679877311129081e-08,5.18855744263032e-24,2.4358138187068667e-23,3.3157491126544365e-09,6.287419435251123e-09,8.777756605034335e-15,2.5824160807663723e-14,8.852162009059623e-16,1.9641234702287724e-17,9.829224718487568e-16,1.0019718175265524e-16,0.0,1.0,107774.82358187379,31493.189289440426,16.490227692686013,2.1401399963437107e-10,1.551247560117722e-08
4.6415888336127726e-14,2.2415160327392247e-08,5.5714312550951196e-08,7.354654617536932e-24,3.4527014118257326e-23,3.947768311277736e-09,7.48587447899173e-09,1.2442198126011471e-14,3.660513220988881e-14,1.2547711356627265e-15,2.78409874138692e-17,1.3932672311902871e-15,1.4202719548035856e-16,0.0,1.0,90518.84312563314,26449.99857305807,16.490227692690826,2.547880231330669e-10,1.8467379434136014e-08
6.579332246575682e-14,2.6685877366424708e-08,6.632945913606099e-08,1.042504724188794e-23,4.8941121039262884e-23,4.7002181396126314e-09,8.912694759917394e-09,1.7636418312888626e-14,5.188691602592575e-14,1.7786057365309024e-15,3.946395575807706e-17,1.9749203413912332e-15,2.01320351119848e-16,0.0,1.0,76026.80623569981,22214.900327862855,16.490227692697665,3.033345731740296e-10,2.1985641394970637e-08
9.32603346883218e-14,3.1770664619650644e-08,7.896803330294652e-08,1.477725932025189e-23,6.937272496813666e-23,5.596052886751073e-09,1.0611407421458679e-08,2.499903892419765e-14,7.35485094935457e-14,2.5211277979647483e-15,5.59392649481997e-17,2.7993986237907697e-15,2.853671912070285e-16,0.0,1.0,63855.5690781494,18658.206973098924,16.490227692707347,3.6113459770935086e-10,2.6174586456552454e-08
1.3219411484660287e-13,3.782463507225291e-08,9.401558018472588e-08,2.0946424138348387e-23,9.833396153222371e-23,6.662600966646293e-09,1.2633834214203503e-08,3.543527514996762e-14,1.0425335938780955e-13,3.5736337182381744e-15,7.929267758070106e-17,3.968075332389256e-15,4.0450196217428383e-16,0.0,1.0,53633.21415787772,15671.126820213669,16.49022769272108,4.299513265731628e-10,3.116199827380484e-08
1.8738174228603867e-13,4.50324662216803e-08,1.1193113025713945e-07,2.969108396588556e-23,1.3938570851997507e-22,7.932398622017471e-09,1.5041672479967244e-08,5.022822140617941e-14,1.477768609443491e-13,5.065533806267037e-15,1.1239568431909693e-16,5.6246444482641145e-15,5.73373344490467e-16,0.0,1.0,45047.53013694859,13162.36351555748,16.49022769274054,5.118840588514289e-10,3.710001680884913e-08
2.6560877829466837e-13,5.3614033233240845e-08,1.3326120134741517e-07,4.2086460741808194e-23,1.9757540206521279e-22,9.444182499922029e-09,1.7908377441135495e-08,7.119658914536535e-14,2.0947058703535507e-13,7.18026387049901e-15,1.5931859037308447e-16,7.972788498427159e-15,8.127457227119324e-16,0.0,1.0,37836.38412464993,11055.282551578475,16.490227692768126,6.094322012814529e-10,4.416977874383008e-08
3.7649358067924714e-13,6.383111570264063e-08,1.5865646907468173e-07,5.965666706573861e-23,2.800576252577493e-22,1.1244071371051834e-08,2.1321403255587486e-08,1.0091828443639807e-13,2.969203343875945e-13,1.0177839496022803e-14,2.2583101805477864e-16,1.1301222238584246e-14,1.152052511655024e-15,0.0,1.0,31779.663845489973,9285.544820459507,16.490227692807228,7.25571511616556e-10,5.258694229126751e-08
5.336699231206301e-13,7.599538231050442e-08,1.8889161405848093e-07,8.456211558349001e-23,3.9697376883892997e-22,1.338697307892633e-08,2.5384871203651732e-08,1.4304730367713396e-13,4.208789096329072e-13,1.4426826168141018e-14,3.201113757882563e-16,1.6019191436540316e-14,1.633015552483052e-15,0.0,1.0,26692.52661618296,7799.126883743654,16.49022769286266,8.638448717915089e-10,6.260826459208576e-08
7.564633275546291e-13,9.047789697136328e-08,2.2488895110889453e-07,1.198651732286845e-22,5.626989146403251e-22,1.593825962306171e-08,3.022274646478492e-08,2.027628917830182e-13,5.965883674699982e-13,2.044965612775427e-14,4.53752545122697e-16,2.270679149761959e-14,2.3147757193848657e-15,0.0,1.0,22419.73905784104,6550.662876024237,16.490227692941225,1.0284703599247851e-09,7.453943233085552e-08
