x,0_0_im,0_0_re,0_1_im,0_1_re,0_2_im,0_2_re,0_3_im,0_3_re,0_4_im,0_4_re,0_5_im,0_5_re,deform_jac_im,deform_jac_re,integrand_im,integrand_re,param_jac,rescaled_integrand_im,rescaled_integrand_re
5.3366992312063125e-08,9.056871867539674e-10,9.139863579606316e-11,1.0713296985931075e-31,3.195157602398097e-31,2.5514906986065233e-09,2.574860048341088e-10,7.126981404217218e-24,2.4917300795005011e-23,2.644249683914808e-24,1.2632148966022268e-25,2.6921688059733466e-24,2.7443179588467774e-25,0.0,1.0,320518053048.695,3176086873617.574,34.63605602964031,1.4065081217628109e-12,3.4571778855292465e-09
7.56463327554629e-08,1.2837881718132875e-09,1.295554506028331e-10,3.0511861806958907e-31,9.09992266229333e-31,3.61667245407391e-09,3.649798381970678e-10,2.0297881684189865e-23,7.096534404888281e-23,7.530918220320902e-24,3.5976826129438625e-25,7.667393098068937e-24,7.815918296771811e-25,0.0,1.0,159522689651.9494,1580745959389.961,34.63605478715935,1.993690235978004e-12,4.900460623451937e-09
1.0722672220103253e-07,1.8197365275444482e-09,1.836419990233444e-10,8.689890801210496e-31,2.5916902934220773e-30,5.126540371337748e-09,5.173496530850359e-10,5.78090265061425e-23,2.0211175499973684e-22,2.1448326325652415e-23,1.024633428373004e-24,2.1837009651451412e-23,2.226002500202208e-24,0.0,1.0,79394889092.04915,786741014388.7924,34.636053025975,2.8260070531735324e-12,6.946276898340645e-09
1.519911082952933e-07,2.579429442914647e-09,2.60308787222592e-10,2.474913327928361e-30,7.381225620474817e-30,7.266739740047564e-09,7.333301001903539e-10,1.6464190413506127e-22,5.756211632603381e-22,6.108560718222006e-23,2.9181948386290913e-24,6.219258307606792e-23,6.339738737628912e-24,0.0,1.0,39515073490.25961,391562874441.76154,34.63605052954227,4.005797349716951e-12,9.84616918612978e-09
2.1544346900318867e-07,3.6562744523795914e-09,3.689829857824737e-10,7.048647009653136e-30,2.1021990091917415e-29,1.0300418301734262e-08,1.0394771418064325e-09,4.689049306787075e-22,1.6393882484581975e-21,1.7397401842169195e-22,8.311131979094876e-24,1.7712669253285248e-22,1.8055818556279978e-23,0.0,1.0,19666780553.319633,194881777914.69995,34.636046990914565,5.67812503501873e-12,1.3956692754359612e-08
3.0538555088334124e-07,5.182674288656219e-09,5.230278783591428e-10,2.0074820017272065e-29,5.987136070129915e-29,1.4600581751589218e-08,1.4734333395375216e-09,1.3354535490941963e-21,4.6690305948755005e-21,4.954843177978774e-22,2.3670435925395244e-23,5.044631137685113e-22,5.142368038623206e-23,0.0,1.0,9788227976.572771,96993128883.06465,34.63604197500361,8.04861721377535e-12,1.9783256036834956e-08
4.3287612810830616e-07,7.34630633757624e-09,7.413866039260154e-10,5.717389026015141e-29,1.705156975625251e-28,2.0695957323109544e-08,2.088556408096562e-09,3.8034013919128606e-21,1.3297542628989002e-20,1.4111574046717666e-21,6.741438756011503e-23,1.4367288008109546e-21,1.4645673451968665e-22,0.0,1.0,4871641753.90904,48273715020.42535,34.63603486508422,1.1408750564405488e-11,2.804226365890941e-08
6.135907273413189e-07,1.0413198301765978e-08,1.0509126321165047e-09,1.6283362445816905e-28,4.856344788079675e-28,2.9336004711845936e-08,2.960480210889247e-09,1.0832150045514784e-20,3.7871781577198856e-20,4.019028096789923e-21,1.91999146985137e-22,4.0918541829643474e-21,4.171150354485917e-22,0.0,1.0,2424640015.440573,24025946097.544594,34.63602478696682,1.6171696798724683e-11,3.974920301563138e-08
8.697490026177835e-07,1.4760437282429666e-08,1.4896742062120412e-09,4.637573524546078e-28,1.383103025935127e-27,4.158306877119827e-08,4.196415189396571e-09,3.085005497542996e-20,1.0785980157856825e-19,1.1446340989144928e-20,5.46822690464982e-22,1.1653743545550346e-20,1.1879626287795028e-21,0.0,1.0,1206757822.4885578,11957773074.645586,34.636010501515166,2.2923138491828033e-11,5.634350605271222e-08
1.2328467394420685e-06,2.0922533934655265e-08,2.1116404078474535e-09,1.3208030216343862e-27,3.939121421564679e-27,5.8943006059607603e-08,5.9483321745513754e-09,8.786086456968464e-20,3.0718700615678404e-19,3.259960913053455e-20,1.5573796513777219e-21,3.319026372975676e-20,3.3833765131681398e-21,0.0,1.0,600612401.6601702,5951414014.443249,34.635990252295436,3.249331040974832e-11,7.9865539991271e-08
1.747528400007683e-06,2.9657142140412696e-08,2.9933277477924205e-09,3.761716372779373e-27,1.1218736467056984e-26,8.355034984306818e-08,8.431651513607636e-09,2.5022605514094836e-19,8.74873243353118e-19,9.284493454436425e-20,4.435509502795194e-21,9.452699743856348e-20,9.63604361491651e-21,0.0,1.0,298930574.61511916,2962034315.5806603,34.63596154962784,4.6059139009227414e-11,1.1320749198385158e-07
2.477076355991714e-06,4.2038214372611115e-08,4.243230020177167e-09,1.0713591938747607e-26,3.1951272492212504e-26,1.1843078703325772e-07,1.1951737266917483e-08,7.126332465529734e-19,2.4916446671004082e-18,2.6442602046268685e-19,1.2632637086408398e-20,2.692160202775364e-19,2.744406408290038e-20,0.0,1.0,148781532.22548583,1474212542.5357723,34.635920864495176,6.52890681477574e-11,1.6046900140780643e-07
3.5111917342151275e-06,5.9588045843167256e-08,6.0152019298018445e-09,3.051305253656961e-26,9.099800125994464e-26,1.6787323334979981e-07,1.6941457795293597e-08,2.029526187866292e-18,7.096189587127461e-18,7.530960692563842e-19,3.59787966892288e-20,7.667358366583214e-19,7.816275369376502e-20,0.0,1.0,74051092.67632909,733719820.8537377,34.63586319468638,9.254843772692874e-11,2.2746127919450122e-07
