-6.0000000000000000e+00 2.2036327882056269e-06
-1.0000000000000000e+00 2.1297853872025556e-06
4.0000000000000000e+00 2.0755508137912099e-06
9.0000000000000000e+00 2.0311645032057500e-06
1.4000000000000000e+01 1.9931326811092909e-06
1.9000000000000000e+01 1.9596546109085080e-06
2.4000000000000000e+01 1.9296457076494634e-06
2.9000000000000000e+01 1.9023897740932214e-06
3.4000000000000000e+01 1.8773836954798110e-06
3.9000000000000000e+01 1.8542578364875980e-06
4.4000000000000000e+01 1.8327311908833602e-06
4.9000000000000000e+01 1.8125842881697738e-06
5.4000000000000000e+01 1.7936419232190160e-06
5.9000000000000000e+01 1.7757616652952551e-06
6.4000000000000000e+01 1.7588259395664846e-06
6.9000000000000000e+01 1.7427364083718456e-06
7.4000000000000000e+01 1.7274098841042277e-06
7.9000000000000000e+01 1.7127752920683893e-06
8.4000000000000000e+01 1.6987713712700665e-06
8.9000000000000000e+01 1.6853449052765265e-06
9.4000000000000000e+01 1.6724493411021524e-06
9.9000000000000000e+01 1.6600436970866388e-06
